Review Title,Review Text,Sentiment,Review Length
Nice product,"Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You.",1,36
Don't waste your money,They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this.,0,19
Did not meet expectations,Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers.,0,23
Fair,"Quite O. K. , but nowadays  the quality of the corks like not as before 3 to 5 years back.. I am using MAVIS 350 for more than 15 years quality of corks was very very good at that times, but now I am not getting the quality corks as like before, rate of corks also too much now, I am  very sorry to say like this, but in my experience , my Statment is very true to   my knowledge",0,80
Over priced,Over pricedJust â?¹620 ..from retailer.I didn't understand.. Wat is d advantage of buying dis frm flipkrt,0,16
Mind-blowing purchase,Good quality product. Delivered on time.,1,6
Must buy!,BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was good,1,19
Classy product,Good quality original shuttles.,1,4
Great product,Awesome,1,1
Just wow!,nice original products,1,3
Just wow!,This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it.....,1,26
Terrific purchase,Best in class....,1,3
Worth every penny,it's genuine and price is less than our near by shop,1,11
Did not meet expectations,"This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product.",0,45
Worth every penny,really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍,1,13
Brilliant,Nyc,1,1
I think it is duplicate,I usually buy them the same model but this did not last even for a day,0,16
Slightly disappointed,"Poor quality, not original",0,4
Super!,Delivered on expected time,1,4
Awesome,nice and original product,1,4
Awesome,Very nice and Good price compare then local sports.,1,9
