Final Text,Sentiment
nice product. nice product good quality but price is now rising which is a bad sign. 800 850 was an affordable price especially when we play everyday. so kindly help us out in terms of the price. thank you.,1
don t waste your money. they didn t supplied yonex mavis 350. outside cover was yonex ad inside was a cheapest.... sad to hear this.,0
did not meet expectations. worst product. damaged shuttlecocks packed in new box. it s not a original yonex product. don t buy.flipkart platform is chosen to fraud the buyers.,0
fair. quite o. k. but nowadays the quality of the corks like not as before 3 to 5 years back.. i am using mavis 350 for more than 15 years quality of corks was very very good at that times but now i am not getting the quality corks as like before rate of corks also too much now i am very sorry to say like this but in my experience my statment is very true to my knowledge,0
over priced. over pricedjust 620 ..from retailer.i didn t understand.. wat is d advantage of buying dis frm flipkrt,0
mind blowing purchase. good quality product. delivered on time.,1
must buy . best purchase it is a good quality and is more durable than any average shuttle. and shipping was good,1
classy product. good quality original shuttles.,1
great product. awesome,1
just wow . nice original products,1
just wow . this green cap shuttlecock is really awesome. quality is best and good packing.this green cap shuttlecock is played at warm conditions.worth for money. simply loved it.....,1
terrific purchase. best in class....,1
worth every penny. it s genuine and price is less than our near by shop,1
did not meet expectations. this is the second time i am getting an opened bundle of yonex mavis 350 shuttle. i really believe this is not an original product or someone may have switched the shuttle inside the bundle. don t buy from flipkart. i am gonna return this product.,0
worth every penny. really satisfied with the quality and the prompt delivery.....happy customer of flipkart,1
brilliant. nyc,1
i think it is duplicate. i usually buy them the same model but this did not last even for a day,0
slightly disappointed. poor quality not original,0
super . delivered on expected time,1
awesome. nice and original product,1
awesome. very nice and good price compare then local sports.,1
highly recommended. it s perfect. go for it. yonex will never disappoint you. pros 1. the feather might look little cheap at first glance but it ain t like that. the quality it best.2. the bottom cork is so amazing. we play in an open court and it perfectly glides around. balanced base. 3. the durability seems to go fine. no issues on that. we intermediate players have been using one shuttle since 2 days now. cons 1. slightly on a higher range. 2. if you use 30lbs bg 65 or 98 racquet then it s p...,1
nice product. superb,1
unsatisfactory. looked like defective once without balance had to throw 4 out of 6.,0
nice product. genuine product at very reasonable price....got for rs 630,1
fabulous . good sealed original yonex shuttles,1
not good. they are not as expected...the head portion break very soon...defective pieces..,0
good choice. i am giving 4 star only for its price hike. please anyone suggest any other shuttle cork for same performance with lower price.,1
great product. quality is poover,1
best in the market . good product,1
super . good product.....,1
very good. received in good condition...am really satisfied with the product.but i am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. they also know this opportunity so they never have coins to return...i really dont like this kind of selfishness,1
slightly disappointed. after using found shuttles quality are not upto the level. this box has not 3d quality sticker.,0
did not meet expectations. local product,0
not good. few of shuttle just separated from base in just a single shot. very poor quality,0
not good. shuttle is over rotating,0
absolute rubbish . very bad quality.,0
worst experience ever . worst quality after 2 or 3 shots the ball started to rotate.,0
